userID,predicted_artistID,predicted_artist_name
1877,81,Portishead
1492,918,Megadeth
1650,1814,Sex Pistols
32,93,Jean-Michel Jarre
581,924,Angra
1002,1084,Provision
1717,88,Gorillaz
645,455,Backstreet Boys
1016,2787,Whitesnake
1438,188,Opeth
1422,498,Paramore
1182,816,A Day to Remember
533,72,Depeche Mode
390,718,Johnny Cash
295,715,R.E.M.
1080,399,嵐
1815,295,Beyoncé
1599,1104,Rammstein
393,188,Opeth
220,1009,Tiësto
344,755,65daysofstatic
195,188,Opeth
482,1048,The Kooks
200,906,Girls Aloud
939,366,Jack Johnson
1626,680,The Veronicas
133,88,Gorillaz
401,64,Röyksopp
1505,2,Diary of Dreams
1613,3703,Tim Hecker
1683,81,Portishead
1766,88,Gorillaz
1473,918,Megadeth
1493,89,Lady Gaga
52,2702,Bondage Fairies
1332,88,Gorillaz
460,782,Solar Fields
874,453,Silverchair
898,88,Gorillaz
141,2,Diary of Dreams
1454,2,Diary of Dreams
1395,918,Megadeth
644,782,Solar Fields
1351,524,Jeffree Star
128,2,Diary of Dreams
1025,325,Ashley Tisdale
1834,706,AC/DC
1279,182,Keane
1023,88,Gorillaz
1829,679,Glee Cast
215,6293,Straylight Run
1200,2,Diary of Dreams
699,2,Diary of Dreams
668,81,Portishead
1597,188,Opeth
173,455,Backstreet Boys
394,6293,Straylight Run
46,64,Röyksopp
1078,1009,Tiësto
183,2,Diary of Dreams
1085,1009,Tiësto
764,57,Thievery Corporation
576,2,Diary of Dreams
374,2,Diary of Dreams
1638,782,Solar Fields
267,344,Taylor Swift
82,2524,Mando Diao
1675,72,Depeche Mode
1450,498,Paramore
1224,1009,Tiësto
1465,924,Angra
1503,316,Alanis Morissette
1702,325,Ashley Tisdale
35,1048,The Kooks
1429,859,Pixies
1055,1009,Tiësto
1558,1009,Tiësto
1198,88,Gorillaz
1653,2,Diary of Dreams
331,1048,The Kooks
762,2,Diary of Dreams
727,1090,Franz Ferdinand
208,715,R.E.M.
71,222,Modest Mouse
655,1009,Tiësto
1522,1303,Assemblage 23
1489,88,Gorillaz
1008,81,Portishead
987,924,Angra
1456,606,José González
863,182,Keane
627,141,Aidan Baker
294,2446,Howard Shore
1244,190,Muse
1887,679,Glee Cast
434,316,Alanis Morissette
1289,182,Keane
1036,924,Angra
33,4324,Heavenly
1193,285,Janet Jackson
1618,6293,Straylight Run
971,498,Paramore
1295,1048,The Kooks
1028,498,Paramore
744,64,Röyksopp
763,1834,Diana Ross
698,1009,Tiësto
1064,1009,Tiësto
346,229,The Killers
563,932,Matanza
1821,88,Gorillaz
964,157,Michael Jackson
444,1090,Franz Ferdinand
185,1090,Franz Ferdinand
353,64,Röyksopp
1881,2,Diary of Dreams
718,1303,Assemblage 23
582,257,Mariah Carey
1768,88,Gorillaz
1879,195,Bright Eyes
810,1090,Franz Ferdinand
306,2,Diary of Dreams
1135,88,Gorillaz
1093,141,Aidan Baker
290,88,Gorillaz
376,141,Aidan Baker
1874,918,Megadeth
248,72,Depeche Mode
1803,370,Katatonia
1089,2,Diary of Dreams
421,88,Gorillaz
708,1009,Tiësto
366,816,A Day to Remember
1075,375,浜崎あゆみ
278,88,Gorillaz
154,1009,Tiësto
1299,859,Pixies
1632,72,Depeche Mode
1521,64,Röyksopp
1435,412,blink-182
792,366,Jack Johnson
1501,1090,Franz Ferdinand
178,7556,Femi Kuti
841,366,Jack Johnson
26,141,Aidan Baker
